LAD20NM,rtrft_need_indx_reltv_indx_mean,std.dev,iqr,min,max,skewness,kurtosis,n.obs,missing.obs
Nottingham,1.4989,0.8251,1.2974,0.095,3.4482,0.2251,-0.7443,182,0
Rochdale,1.4867,0.7457,1.0198,0.2088,3.2514,0.3757,-0.4969,134,0
Wirral,1.486,0.9344,1.5892,0.2472,3.7473,0.5219,-0.8781,206,0
Manchester,1.4856,0.8264,1.2409,0.095,3.8141,0.146,-0.5875,282,0
Rotherham,1.4774,0.8596,1.3934,0.1668,3.6039,0.4908,-0.7889,167,0
Darlington,1.4696,0.9632,1.6322,0.2372,3.8711,0.5539,-0.594,65,0
Redcar and Cleveland,1.4558,0.8145,1.2927,0.1905,3.8747,0.331,-0.4155,88,0
Thanet,1.4476,0.6521,0.8351,0.3929,3.0566,0.4494,-0.503,84,0
Copeland,1.44,0.8592,1.2169,0.3398,4.3944,1.0751,1.6427,49,0
Calderdale,1.4399,0.894,1.4508,0.2186,4.1016,0.6166,-0.5995,128,0
Leicester,1.4393,0.689,1.0168,0.0962,3.7162,0.4669,0.1655,192,0
Doncaster,1.4308,0.8454,1.4353,0.1415,3.6548,0.4564,-0.8113,194,0
Barking and Dagenham,1.4234,0.5079,0.682,0.513,3.033,0.3986,-0.0623,110,0
Scarborough,1.4114,0.7719,1.1193,0.1912,3.6302,0.6755,-0.2459,71,0
Tameside,1.4051,0.6271,0.8897,0.2968,3.7093,0.5184,0.6733,141,0
Great Yarmouth,1.4004,0.6507,0.9645,0.2356,3.5353,0.6481,0.6939,61,0
Sefton,1.3929,0.7995,1.2481,0.2668,3.9572,0.6756,-0.2184,189,0
Kirklees,1.3821,0.8645,1.4408,0.1097,4.1619,0.5992,-0.3796,259,0
Bolton,1.3718,0.8004,1.2821,0.2249,3.6574,0.4343,-0.6665,177,0
Knowsley,1.3715,0.4943,0.5242,0.3144,2.7348,-0.0793,0.3663,98,0
Halton,1.3577,0.7638,1.341,0.1539,3.3837,0.1788,-0.6337,79,0
Mansfield,1.3569,0.7881,1.4405,0.1217,3.0124,0.0967,-1.05,67,0
Lancaster,1.3407,0.9994,1.2963,0.2343,4.317,1.1427,0.5261,89,0
Stockton-on-Tees,1.3327,0.9868,1.5105,0.1409,3.8726,0.7343,-0.5167,120,0
Dudley,1.3262,0.8043,1.2988,0.2121,3.8021,0.6641,-0.4041,201,0
Ashfield,1.3237,0.6911,1.0014,0.1773,3.3429,0.591,-0.1294,74,0
Southend-on-Sea,1.3227,0.7637,1.2009,0.3292,3.5959,0.6572,-0.2848,107,0
Wakefield,1.3202,0.8076,1.2131,0.1623,3.8637,0.6928,-0.2488,209,0
Sheffield,1.2978,0.9087,1.4028,0.095,4.0162,0.7128,-0.3505,345,0
Salford,1.2855,0.7068,1.0347,0.095,3.4061,0.4156,-0.1617,150,0
Wyre,1.2814,0.8864,1.2149,0.1833,3.8436,1.1516,0.7134,69,0
Newcastle upon Tyne,1.2612,0.8289,1.3877,0.095,3.9691,0.5038,-0.3851,175,0
Derby,1.2523,0.8187,1.2676,0.1217,3.4387,0.5585,-0.6011,151,0
Wigan,1.2488,0.7449,1.2703,0.1574,3.1705,0.4339,-0.8807,200,0
Preston,1.2185,0.7075,1.0839,0.1521,2.9777,0.4613,-0.434,86,0
Bury,1.1955,0.7288,1.1317,0.2687,3.0822,0.8159,-0.2671,120,0
North Tyneside,1.1955,0.6954,1.2273,0.1855,2.9648,0.3926,-0.8667,131,0
Northumberland,1.1871,0.8316,1.2894,0.1761,3.5587,0.8781,-0.1583,197,0
Luton,1.1871,0.6259,0.772,0.2133,3.0751,0.8941,0.609,121,0
Southampton,1.1864,0.7396,1.1051,0.1141,3.0032,0.7113,-0.4286,148,0
Isle of Wight,1.1847,0.4946,0.6503,0.3697,2.7737,0.7738,0.6185,89,0
Fenland,1.1838,0.4351,0.7292,0.4235,2.0109,0.0899,-0.9543,55,0
Bolsover,1.1794,0.5552,0.6907,0.2914,2.5313,0.5626,-0.1891,48,0
King's Lynn and West Norfolk,1.1621,0.4814,0.6398,0.2093,2.5954,0.3453,0.205,89,0
Cannock Chase,1.161,0.6607,1.1164,0.2358,2.9715,0.547,-0.3499,60,0
North Lincolnshire,1.1582,0.65,0.9375,0.239,3.6485,1.0367,1.2221,101,0
Eastbourne,1.1564,0.5643,0.9082,0.2498,2.5312,0.4057,-0.7112,61,0
Allerdale,1.1498,0.7442,1.3305,0.1735,2.927,0.7918,-0.3354,60,0
Coventry,1.1464,0.687,0.927,0.1886,3.6022,0.9536,0.6593,195,0
Carlisle,1.1458,0.7684,1.0618,0.1962,3.7418,1.0207,0.9412,68,0
Stockport,1.1428,0.7111,1.1921,0.1917,2.9507,0.7648,-0.492,190,0
Lewisham,1.1335,0.4723,0.6267,0.1281,2.5941,0.5119,0.0147,169,0
Castle Point,1.1298,0.7625,0.9327,0.2545,3.549,1.467,2.0736,57,0
Folkestone and Hythe,1.1254,0.5962,1.0687,0.212,2.3556,0.3442,-1.0005,67,0
Nuneaton and Bedworth,1.1243,0.6918,1.1213,0.1518,2.6182,0.4579,-0.8879,81,0
Erewash,1.1199,0.7096,1.0481,0.1668,2.9852,0.7958,-0.3066,73,0
Enfield,1.1197,0.5286,0.8197,0.1707,2.9254,0.6261,0.3017,183,0
Plymouth,1.1184,0.65,1.0822,0.1763,3.5743,0.7726,0.3313,161,0
Lincoln,1.1077,0.611,1.0255,0.2965,2.7555,0.4816,-0.5517,57,0
Cornwall,1.1029,0.5439,0.6967,0.1893,3.1657,0.9067,0.6771,326,0
Wyre Forest,1.0939,0.6622,0.9866,0.2337,2.867,0.9611,0.0753,65,0
North East Derbyshire,1.0922,0.7616,1.0157,0.2224,3.8339,1.3938,2.196,63,0
Rother,1.0869,0.5357,0.7257,0.2673,2.5144,0.9855,0.5773,58,0
Norwich,1.0782,0.5705,0.957,0.1535,2.498,0.2942,-0.7558,83,0
Tamworth,1.0716,0.7378,1.2176,0.2004,2.8975,0.8226,-0.2524,51,0
Torridge,1.0589,0.5034,0.5452,0.2856,2.5488,1.5011,2.8391,37,0
North Norfolk,1.0498,0.3852,0.3995,0.1907,2.059,0.629,0.5145,62,0
Leeds,1.0435,0.7272,1.0952,0.095,3.7023,0.8812,0.1501,482,0
Corby,1.0432,0.5822,1.1301,0.1488,2.2869,0.0708,-1.0426,41,0
Gloucester,1.0419,0.7828,1.2411,0.18,3.7566,1.1115,0.7481,78,0
Ipswich,1.0374,0.538,0.958,0.1881,2.3306,0.4347,-0.857,85,0
Brent,1.0345,0.4061,0.5134,0.1985,2.325,0.8612,0.5221,173,0
West Lindsey,1.0321,0.7307,0.8754,0.2458,3.2771,1.2821,1.2273,52,0
Bassetlaw,1.0312,0.6607,0.8954,0.2001,2.9555,0.978,0.3108,70,0
North Devon,1.0305,0.6948,0.9154,0.1842,3.4782,1.5254,2.7784,58,0
"Bristol, City of",1.028,0.6692,0.9819,0.1102,4.365,1.0308,1.5898,263,0
Adur,1.0268,0.4858,0.5974,0.3014,2.4422,0.7098,0.494,42,0
Swale,1.023,0.7013,0.8892,0.185,3.9189,1.5367,3.0881,85,0
Haringey,1.0192,0.5062,0.684,0.22,2.8505,0.7217,0.6166,145,0
West Lancashire,1.0102,0.6948,0.9097,0.236,3.2768,1.4062,1.5522,73,0
Ealing,1.007,0.4884,0.656,0.2438,2.941,0.9424,1.2374,196,0
Havant,1.0033,0.6298,0.8883,0.2434,2.6553,1.0122,0.5207,78,0
Amber Valley,1.0022,0.6678,0.927,0.2079,2.6818,0.8914,-0.2296,78,0
Portsmouth,1.0004,0.5545,0.6487,0.106,2.691,1.1489,0.8396,125,0
Basildon,1.0004,0.6542,1.0658,0.1742,2.9661,0.705,-0.1975,110,0
Fylde,0.98740000000000006,0.6706,0.6953,0.173,3.0687,1.5455,2.2197,51,0
Greenwich,0.9862,0.472,0.7068,0.1043,2.3926,0.4501,-0.2782,151,0
Medway,0.9829,0.5998,0.9596,0.1703,2.6101,0.6129,-0.6472,163,0
Newcastle-under-Lyme,0.9766,0.5249,0.845,0.1856,2.3407,0.6227,-0.2434,80,0
Newham,0.9754,0.3649,0.4427,0.0994,1.9085,0.029,0.1107,164,0
South Holland,0.9727,0.4907,0.6736,0.1757,2.8171,1.0883,2.7486,49,0
Dover,0.9718,0.4578,0.5366,0.3187,2.1643,0.8012,-0.0458,67,0
Trafford,0.9637,0.6812,0.9834,0.1763,2.9652,1.0472,0.23,138,0
Telford and Wrekin,0.963,0.5408,0.8059,0.1728,2.7585,0.8106,0.9043,108,0
Islington,0.9603,0.4011,0.4942,0.1063,2.1799,0.545,0.5542,123,0
Arun,0.9595,0.499,0.6856,0.2936,2.7061,1.2399,1.7744,94,0
Worthing,0.9588,0.4795,0.7017,0.3559,2.1105,0.8341,-0.1204,65,0
Boston,0.9577,0.4916,0.8153,0.1663,1.9187,0.3185,-0.7883,36,0
Sedgemoor,0.9441,0.584,0.733,0.2642,3.0291,1.29,1.6793,70,0
West Devon,0.9422,0.4127,0.504,0.23,2.0161,0.8666,0.8047,31,0
"Bournemouth, Christchurch and Poole",0.9417,0.562,0.6935,0.1342,3.0005,1.2654,1.4517,233,0
Hackney,0.9405,0.3741,0.4136,0.1092,2.3058,0.9665,2.1641,144,0
Gedling,0.9314,0.5998,0.753,0.213,2.5858,1.0659,0.243,77,0
Waltham Forest,0.9255,0.3264,0.4101,0.2768,2.4462,0.8576,2.47,144,0
Teignbridge,0.9205,0.5462,0.6823,0.2594,2.7374,1.2563,0.9057,84,0
Peterborough,0.9136,0.4707,0.7101,0.1242,2.5544,0.7572,0.9366,112,0
Somerset West and Taunton,0.9046,0.5295,0.7559,0.1561,2.4565,0.6861,-0.0584,88,0
Croydon,0.8993,0.4934,0.693,0.1915,2.3296,0.8379,0.2175,220,0
Thurrock,0.8991,0.5603,0.8009,0.1184,2.3263,0.7989,-0.0534,98,0
East Suffolk,0.8949,0.5811,0.689,0.1194,2.6429,1.2029,1.1274,146,0
Cheshire West and Chester,0.8948,0.6219,0.9665,0.1437,2.9014,0.8988,-0.1731,212,0
Harrow,0.8928,0.4144,0.5491,0.2101,2.728,1.0693,2.0428,137,0
