year,acorn_LSOA2011,rni,rni_N,rni_sa1,rni_sa1_N,rni_sa2,rni_sa2_N,rni_health_vuln,rni_health,rni_big_pc,rni_big_sa1_pc,rni_big_sa2_pc,lowEPC_pc,poverty_pc,eligibility_pc,eligibility_sa1_pc,eligibility_sa2_pc,imd_dec,imd_inc_score
2025,E01006470,1.38464510929957,554,0.551430068822874,554,1.24107728587042,413,1.01157763395958,1.00811869573649,0.0631768953068592,0.169675090252708,0.0750605326876513,0.312274368231047,0.375451263537906,0.11913357400722,0.312274368231047,0.135593220338983,1,0.392
2025,E01006471,0.662085306180081,552,1.42605475759257,552,0.969335309355215,258,1.01536328000062,0.999588714713688,0.0434782608695652,0.523550724637681,0.0852713178294574,0.798913043478261,0.0615942028985507,0.0543478260869565,0.798913043478261,0.10077519379845,7,0.061
2025,E01006472,0.642843832704071,555,1.23621776411102,555,0.881270260102069,256,1.0102679387363,0.998343732033154,0.0450450450450451,0.452252252252252,0.0859375,0.695495495495496,0.0702702702702703,0.0522522522522523,0.695495495495496,0.08984375,5,0.074
2025,E01006473,0.328114268651339,659,0.580897208401774,659,0.379482752668587,425,1.008197110047,0.995395836219345,0.0212443095599393,0.213960546282246,0.0329411764705882,0.327769347496206,0.0561456752655539,0.0273141122913505,0.327769347496206,0.04,5,0.064
2025,E01006474,0.531684890806207,681,0.846427504416279,681,0.462499487108552,422,1.01534871435958,1.00142195591154,0.0279001468428781,0.302496328928047,0.0355450236966825,0.474302496328928,0.118942731277533,0.0455212922173275,0.474302496328928,0.0497630331753555,4,0.115
2025,E01006475,0.929147170338264,515,1.13975251699303,515,1.24176909237558,238,1.02598583569873,1.00585893608847,0.0601941747572816,0.43495145631068,0.113445378151261,0.631067961165049,0.124271844660194,0.0776699029126214,0.631067961165049,0.130252100840336,5,0.122
2025,E01006476,0.36730538922638,524,0.842321265638768,524,0.587826842695074,243,1.01029553666696,0.997961137404135,0.0229007633587786,0.305343511450382,0.0493827160493827,0.475190839694657,0.0610687022900763,0.0305343511450382,0.475190839694657,0.0617283950617284,8,0.06
2025,E01006477,0.788798112774471,580,0.579498464981266,580,0.751098473358816,385,0.991283958329292,0.999881929806011,0.0448275862068966,0.168965517241379,0.0597402597402597,0.336206896551724,0.26551724137931,0.0672413793103448,0.336206896551724,0.0805194805194805,2,0.274
2025,E01006478,0.870179483125715,695,0.446401408196299,695,0.742018614496336,522,1.01113944721623,1.00654029152874,0.0359712230215827,0.138129496402878,0.0421455938697318,0.251798561151079,0.362589928057554,0.0762589928057554,0.251798561151079,0.0823754789272031,1,0.363
2025,E01006479,1.41599593115741,547,0.859992305710042,547,1.23468757145172,348,1.01822163227926,1.00382628728619,0.0822669104204753,0.308957952468007,0.0919540229885057,0.480804387568556,0.255941499085923,0.118829981718464,0.480804387568556,0.132183908045977,2,0.266
2025,E01006480,1.43782316029867,585,0.465948892037865,585,1.19956645859201,460,1.01286849448908,1.00524060345532,0.0735042735042735,0.152136752136752,0.0826086956521739,0.263247863247863,0.408547008547009,0.123076923076923,0.263247863247863,0.130434782608696,1,0.413
2025,E01006481,1.47521481690855,531,0.795800579797711,531,1.2878293021201,377,0.994095424613493,1.00357624697192,0.0753295668549906,0.256120527306968,0.0822281167108753,0.451977401129944,0.286252354048964,0.126177024482109,0.451977401129944,0.140583554376658,1,0.286
2025,E01006482,1.53330471855236,510,0.896304280456951,510,1.48565508686918,315,1.00633075017427,1.00182625579252,0.0862745098039216,0.305882352941177,0.114285714285714,0.505882352941176,0.243137254901961,0.129411764705882,0.505882352941176,0.158730158730159,2,0.239
2025,E01006483,1.31857971357959,562,0.610504990301004,562,1.12430374881039,396,1.00083273523312,1.00218433460293,0.0551601423487545,0.177935943060498,0.0707070707070707,0.350533807829182,0.336298932384342,0.115658362989324,0.350533807829182,0.123737373737374,1,0.314
2025,E01006484,2.04166824933018,498,1.00874456299611,498,2.07629129925215,329,1.01285583107672,1.00506469792758,0.106425702811245,0.349397590361446,0.145896656534954,0.568273092369478,0.299196787148594,0.174698795180723,0.568273092369478,0.224924012158055,1,0.297
2025,E01006485,0.971613212109455,647,0.989367676806964,647,1.02111824958684,397,1.0027126290877,0.997459658009733,0.0571870170015456,0.319938176197836,0.0856423173803526,0.565687789799073,0.145285935085008,0.0819165378670788,0.565687789799073,0.10831234256927,4,0.143
2025,E01006486,1.12206705763334,437,1.65164254222013,437,1.44546697190701,218,1.01611191960738,0.999893230596188,0.0709382151029748,0.606407322654462,0.128440366972477,0.924485125858124,0.102974828375286,0.0938215102974828,0.924485125858124,0.151376146788991,4,0.112
2025,E01006487,1.09194960035935,548,1.58444069933766,548,1.50580856695476,248,1.01556152137965,0.999387064148278,0.0693430656934307,0.591240875912409,0.137096774193548,0.886861313868613,0.109489051094891,0.0912408759124088,0.886861313868613,0.157258064516129,5,0.098
2025,E01006488,0.390766333042097,801,0.906123658899268,801,0.42623019320844,492,1.01318950084888,0.997928103776073,0.0262172284644195,0.325842696629214,0.0386178861788618,0.506866416978777,0.0649188514357054,0.0324594257178527,0.506866416978777,0.0447154471544715,5,0.076
2025,E01006489,1.08896164588966,507,1.38139568396434,507,1.29687989669454,285,1.00283036690495,1.00083854756643,0.0729783037475345,0.443786982248521,0.115789473684211,0.788954635108481,0.108481262327416,0.0907297830374753,0.788954635108481,0.136842105263158,4,0.111
2025,E01006490,0.471400445052359,938,0.691548982180015,938,0.381024542729723,569,0.990479191688649,0.997482107884642,0.0287846481876333,0.207889125799574,0.0316344463971881,0.398720682302772,0.103411513859275,0.0394456289978678,0.398720682302772,0.0404217926186292,5,0.09
2025,E01006491,0.55740425583413,697,0.883728515843884,697,0.453795963448471,449,0.990760213530391,0.99861156034046,0.03012912482066,0.253945480631277,0.0311804008908686,0.507890961262554,0.0989956958393113,0.0473457675753228,0.507890961262554,0.0489977728285078,5,0.1
2025,E01006492,1.01320432712861,485,0.717329325229811,485,1.05281994813501,288,1.02421401757794,1.0050494839508,0.0639175257731959,0.261855670103093,0.0902777777777778,0.4,0.214432989690722,0.0845360824742268,0.4,0.111111111111111,2,0.21
